"2019-08-24 04:45:53,486 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:45:53,788 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.657430363882764"
"2019-08-24 04:45:53,788 - hetero_ne_arbiter.py[line:93] - INFO: batch: 15"
"2019-08-24 04:46:04,155 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:04,758 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:05,089 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:46:05,089 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:46:05,100 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:05,108 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:05,411 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.5774829797058674"
"2019-08-24 04:46:05,411 - hetero_ne_arbiter.py[line:93] - INFO: batch: 16"
"2019-08-24 04:46:15,647 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:16,552 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:16,713 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:46:16,714 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:46:16,759 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:16,776 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:17,077 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.7951734278939804"
"2019-08-24 04:46:17,078 - hetero_ne_arbiter.py[line:93] - INFO: batch: 17"
"2019-08-24 04:46:22,004 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:22,808 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:23,431 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 88"
"2019-08-24 04:46:23,431 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 88"
"2019-08-24 04:46:23,442 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:23,456 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:23,657 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.268147320478041"
"2019-08-24 04:46:23,658 - hetero_ne_arbiter.py[line:171] - INFO: iter loss: 2.2275687115723635"
"2019-08-24 04:46:23,731 - hetero_ne_arbiter.py[line:183] - INFO: Remote is_stop to host: False"
"2019-08-24 04:46:24,083 - hetero_ne_arbiter.py[line:193] - INFO: Remote is_stop to guest: False"
"2019-08-24 04:46:24,083 - hetero_ne_arbiter.py[line:88] - INFO: iter: 1"
"2019-08-24 04:46:24,083 - hetero_ne_arbiter.py[line:93] - INFO: batch: 0"
"2019-08-24 04:46:33,825 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:34,730 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:34,867 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:46:34,867 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:46:34,878 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:34,896 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:35,298 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 0.27386131507079015"
"2019-08-24 04:46:35,298 - hetero_ne_arbiter.py[line:93] - INFO: batch: 1"
"2019-08-24 04:46:45,135 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:45,838 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:45,996 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:46:45,997 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:46:46,024 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:46,051 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:46,353 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 0.26927188711901173"
"2019-08-24 04:46:46,353 - hetero_ne_arbiter.py[line:93] - INFO: batch: 2"
"2019-08-24 04:46:56,498 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:46:57,202 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:46:57,352 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:46:57,352 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:46:57,373 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:46:57,395 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:46:57,697 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 0.459239502571169"
"2019-08-24 04:46:57,697 - hetero_ne_arbiter.py[line:93] - INFO: batch: 3"
"2019-08-24 04:47:07,536 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:47:08,239 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:47:08,441 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:47:08,443 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:47:08,457 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:47:08,484 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:47:08,786 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 1.9134145801184588"
"2019-08-24 04:47:08,786 - hetero_ne_arbiter.py[line:93] - INFO: batch: 4"
"2019-08-24 04:47:19,029 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:47:19,733 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:47:19,895 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:47:19,895 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:47:19,916 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:47:19,939 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:47:20,242 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 1.4876236127786284"
